model,FER,FER_ci_low,FER_ci_high,A_component,A_ci_low,A_ci_high,delta_max,delta_max_ci_low,delta_max_ci_high,B_component,B_ci_low,B_ci_high,wA,wB,S_raw,AI_Accuracy_Score,M0_metric,metric_type
logreg_en,0.0,0.0,0.0,1.0,1.0,1.0,0.05330909090909097,0.0029990476594953666,0.10617500089981674,0.4669090909090903,0.0,0.9700095234050463,1.875845622680131e-06,0.9999981241543773,0.4669100909053385,5,0.768509090909091,auroc
random_forest,0.0,0.0,0.0,1.0,1.0,1.0,0.07170909090909094,0.02875823835884077,0.11652226600478047,0.28290909090909055,0.0,0.7124176164115923,1.3945194371922384e-06,0.9999986054805629,0.28291009090630154,3,0.7002545454545455,auroc
gbm,0.0,0.0,0.0,1.0,1.0,1.0,0.0473818181818183,0.007449576462823649,0.08926295008648047,0.526181818181817,0.10737049913519536,0.9255042353717635,2.1105052895018424e-06,0.9999978894947105,0.5261828181775959,5,0.6977818181818183,auroc
