model,stratum,size,metric_type,md,rd,weight,tp,tn,fp,fn,PPredd,NPredd,p_d,avg_s_k,avg_c_k,avg_c_tilde
gbm,1,72,auroc_or_balacc,0.651336898395722,0.9166646756659897,0.2,8,47,8,9,16,56,0.7777777808641975,0.9076388888888888,0.9076388888888888,0.9076388888888888
gbm,2,72,auroc_or_balacc,0.6095829636202306,0.8579019106928606,0.2,7,38,11,16,18,54,0.7500000034722222,0.9027777777777778,0.9027777777777778,0.9027777777777778
gbm,3,72,auroc_or_balacc,0.6918181818181819,0.9736363636363637,0.2,9,41,9,13,18,54,0.7500000034722222,0.9111111111111112,0.9111111111111112,0.9111111111111112
gbm,4,72,auroc_or_balacc,0.6609053497942387,0.9301309193556236,0.2,10,36,9,17,19,53,0.7361111147762345,0.9222222222222223,0.9222222222222223,0.9222222222222223
gbm,5,72,auroc_or_balacc,0.7105508870214753,1.0,0.2,11,48,3,10,14,58,0.8055555582561728,0.9104166666666669,0.9104166666666669,0.9104166666666669
