model,stratum,size,metric_type,md,rd,weight,tp,tn,fp,fn,PPredd,NPredd,p_d,avg_s_k,avg_c_k,avg_c_tilde
logreg_en,1,72,auroc_or_balacc,0.681283422459893,0.8724234746285009,0.2,11,33,22,6,33,39,0.5416666730324073,0.9076388888888888,0.9076388888888888,0.9076388888888888
logreg_en,2,72,auroc_or_balacc,0.709849157054126,0.9090035771356676,0.2,15,34,15,8,30,42,0.5833333391203703,0.9027777777777778,0.9027777777777778,0.9027777777777778
logreg_en,3,72,auroc_or_balacc,0.780909090909091,1.0,0.2,18,32,18,4,36,36,0.5000000069444444,0.9111111111111112,0.9111111111111112,0.9111111111111112
logreg_en,4,72,auroc_or_balacc,0.745679012345679,0.9548858132482501,0.2,20,30,15,7,35,37,0.5138888956404319,0.9222222222222223,0.9222222222222223,0.9222222222222223
logreg_en,5,72,auroc_or_balacc,0.746031746031746,0.9553375094702219,0.2,13,40,11,8,24,48,0.6666666712962962,0.9104166666666669,0.9104166666666669,0.9104166666666669
