model,psi_percent,M0,M_psi,delta
logreg_en,1,0.768509090909091,0.7271272727272727,0.0413818181818183
logreg_en,3,0.768509090909091,0.6665090909090908,0.1020000000000002
logreg_en,5,0.768509090909091,0.6475272727272727,0.1209818181818183
logreg_en,10,0.768509090909091,0.5726545454545454,0.19585454545454561
