model,psi_percent,M0,M_psi,delta
gbm,1,0.6977818181818183,0.6900363636363637,0.007745454545454611
gbm,3,0.6977818181818183,0.6909090909090909,0.006872727272727364
gbm,5,0.6977818181818183,0.6599636363636363,0.03781818181818197
gbm,10,0.6977818181818183,0.6634181818181819,0.034363636363636374
